TRUE,"10. In stratul muscular, regasim Orbicularul gurii cu inervatie motorie din nervul VII
"
,
,"220. Putem afirma urmatoarele despre buza inferioara:
"
TRUE,"1. Marginea libera este uscata si prezinta o depresiune
"
,"2. Inervatia senzitiva provine din facial
"
FALSE,"3. Marginea libera este uscata si prezinta un tubercul
"
,"4. In stratul muscular, regasim Orbicularul gurii cu inervatie motorie din nervul V
"
,"5. Pe partea mucoasa, vestibulara, contine fren lingual
"
TRUE,"6. Prezinta santul mentolabial
"
TRUE,"7. In stratul muscular, regasim Orbicularul gurii cu inervatie motorie din nervul VII
"
,"8. Vascularizatia este asigurata de artera linguala
"
TRUE,"9. Pe partea mucoasa, vestibulara, contine fren labial
"
TRUE,"10. Prezinta o depresiune mediana
"
,
,"221. Cavitatea orala sau gura constituie prima portiune a tubului digestiv si o putem delimita dupa cum urmeaza:
"
TRUE,"1. Marginita anterior de buze si pe partile laterale de obraji
"
TRUE,"2. sub fosele nasazle
"
TRUE,"3. Este situata in partea inferioara a fetei
"
,"4. In contact cu muschii milohioidieni
"
,"5. Este situata in partea superioara a fetei
"
,"6. Peretele lateral se termina la rafeul pterigomaxilar
"
,"7. In continuarea faringelui
"
,"8. superior foselor nasazle
"
TRUE,"9. deasupra muschilor milohioidieni
"
TRUE,"10. inaintea faringelui
"
,
,"222. Planseul Bucal contine:
"
,"1. Burta posterioara a digastricului
"
,"2. Bolta palatina
"
TRUE,"3. Frenul lingual
"
TRUE,"4. Portiunea posterioara a limbii
"
TRUE,"5. Muschii geniohioidieni
"
,"6. Difragma gurii 3 muschi milohioidieni
"
FALSE,"7. Glanda parotida
"
TRUE,"8. Difragma gurii, 2 muschi milohiodieni
"
TRUE,"9. Osul hioid
"
,"10. Muschiul omohioidian
"
,
,"223. Regiunea Sublinguala contine:
"
TRUE,"1. Frenul lingual
"
TRUE,"2. Muschiul Hioglos
"
,"3. Muschiul Buccinator
"
TRUE,"4. Orificiul prin care se deschide ductul submandibular (Wharton)
"
,"5. Papila Incisiva
"
,"6. Orificiul prin care se deschide ductul lui Stenon
"
,"7. Frenul labial
"
,"8. Frenul bucal
"
TRUE,"9. Muschiul Genioglos
"
TRUE,"10. Glanda salivara sublinguala
"
,
,"224. Muschii extrinseci ai limbii:
"
TRUE,"1. Muschiul genioglos
"
TRUE,"2. Muschiul hioglos
"
TRUE,"3. Muschiul Tonsiloglos
"
TRUE,"4. Muschiul Stiloglos
"
,"5. Burta anterioara a digastricului
"
,"6. Muschiul Longitudinal superior
"
,"7. Muschiul Transvers
"
,"8. Muschiul Vertical
"
TRUE,"9. Au originea pe oasele sau pe organele invecinate
"
,"10. Muschiul Longitudinal Inferior
"
,
,"225. Muschii Intrinseci ai limbii:
"
FALSE,"1. Muschiul Genioglos
"
TRUE,"2. Muschiul Longitudinal superior
"
TRUE,"3. Muschiul Transvers
"
,"4. Muschiul hioglos
"
TRUE,"5. Muschiul Longitudinal Inferior
"
,"6. Burta anterioara a digastricului
"
,"7. Muschiul Stiloglos
"
TRUE,"8. Muschiul Vertical
"
TRUE,"9. Se fixeaza cu ambele capete in interiorul limbii, pe septul lingual si pe aponevroza limbii
"
,"10. Muschiul Tonsiloglos
"
,
,"226. Limba contine:
"
,"1. Papile Fungicide
"
TRUE,"2. Papile Fungiforme
"
TRUE,"3. Papile Filiforme
"
TRUE,"4. Papile Foliate
"
TRUE,"5. Papile evalate sau caliciforme
"
TRUE,"6. Papile Lentiforme
"
,"7. PapilePalatine
"
,"8. Papile Tonsiliare
"
,"9. Papile Bazilare
"
,"10. Papile Lentiliforme
"
,
,"227. Valul Palatin contine:
"
,"1. Palatul dur
"
,"2. Tensor al valului Palatin
"
TRUE,"3. Arcul palatoglos
"
FALSE,"4. Arcurile Palatine-stalpii valului Palatin
"
TRUE,"5. Arcul palatofaringian
"
TRUE,"6. Cele doua arcuri palatoglose, impreuna cu limba delimitand istmul bucofaringian
"
,"7. Fascia faringo-bazilara
"
TRUE,"8. Uvula
"
,"9. Epiglota
"
TRUE,"10. Arcurile Palatine-stalpii istmului bucofaringian
"
,
,"228. Muschii Valului Palatin sunt:
"
,"1. Muschiul Stilomandibular
"
,"2. Muschiul Pterigoidian Intern
"
TRUE,"3. Muschiul Palatoglos
"
TRUE,"4. Muschiul ridicator la valului palatin
"
,"5. Muschiul Stilofaringian
"
,"6. Muschiul Stiloglos
"
TRUE,"7. Muschii Uvulei
"
TRUE,"8. Muschiul tensor al valului palatin
"
TRUE,"9. Muschiul Palatofaringian
"
,"10. Muschiul Stilohioidian
"
,
,"229. Gingia:
"
TRUE,"1. Portiune a mucoasei bucale, care acopera procesele alveolare, adica portiunile maxilarelor unde se gasesc alveolele dentare.
"
TRUE,"2. La nivelul dintilor formeaza un inel gingival
"
TRUE,"3. Nu este sudata coroanei dintelui, formand sulcusul gingival
"
FALSE,"4. Nu acopera fata vestibulara si fata bucala a procesului alveolar
"
TRUE,"5. Acopera fata vestibulara si fata bucala a procesului alveolar
"
,"6. Portiune a mucoasei bucale, care nu acopera procesele alveolare, adica portiunile maxilarelor unde se gasesc alveolele dentare.
"
,"7. Este vascularizata cu ramuri din artera linguala
"
,"8. In spatiul interdentar gingia este inalta, mai groasa, constituind papila gingivalasau papila interdentara
"
,"9. Nu permite a fi perforata in timpul eruptiei dentare la copii
"
FALSE,"10. Este sudata coroanei dintelui
"
,
,"230. Privitor la vascularizatia Gingiei:
"
,"1. Participa Artera Angulara
"
,"2. Participa Ductul lui Stenon
"
TRUE,"3. Arterele formeaza o arcada arteriala gingivala
"
,"4. Arterele formeaza o arcada gingivala profunda si una superficiala
"
TRUE,"5. Participa artera submentala
"
TRUE,"6. Participa artera sfenopalatina
"
,"7. Participa Artera Tonsilara
"
,"8. Participa Artera Faciala
"
TRUE,"9. Participa artera infraorbitara
"
TRUE,"10. Participa artera alveolara
"
,
,"231. Privitor la drenajul venos si inervatia gingiilor:
"
TRUE,"1. Venele merg la plexul alveolar
"
TRUE,"2. Venele merg la plexul pterigoidian
"
,"3. Gingia Maxilarului este inervata de nervul facial
"
,"4. Inervatia este asigurata de ramul bucal,terminal al facialului.
"
,"5. Venele merg la carotida externa
"
TRUE,"6. Venele anterioare merg la vena faciala si linguala
"
,"7. Gingia Mandibulei este inervata din nervul facial
"
TRUE,"8. Gingia Maxilarului este inervata de ramurile alveolare superioare provenite din nervul maxilar
"
,"9. Venele se varsa direct in vena jugulara interna
"
TRUE,"10. Gingia Mandibulei este inervata de ramuri ale nervul alveolar inferior, provenite din nervul manduibular
"
,
,"232. Loja Parotidiana determina forma corpului glandei si are 6 pereti:
"
,"1. Anterior- trigonul retromolar al mandibulei
"
,"2. Superior-Articulatia temporo-mandibulara si inferior rebordul inferior al mandibulei
"
TRUE,"3. Medial- faringele
"
TRUE,"4. Anterior- ramura mandibulei
"
TRUE,"5. Posterior- Mastoida
"
TRUE,"6. Lateral-lama superficiala a fasciei cervicale
"
,"7. Medial- cavitatea orala
"
,"8. Lateral-muschiul buccinator
"
,"9. Posterior- Peretele posterior al conductului auditiv extern
"
TRUE,"10. Superior-Articulatia temporo-mandibulara si inferior despartitoarea submandibulo-parotidiana
"
,
,"233. Raporturile intrinseci ale Glandei Parotide:
"
TRUE,"1. Nervul facial
"
TRUE,"2. Noduri limfatice
"
,"3. Nervul coarda timpanului, ram din facial
"
,"4. Nervul accesor
"
,"5. Artera Faciala
"
TRUE,"6. Vena retromandibulara
"
TRUE,"7. Artera carotida externa cu ramurile ei terminale -maxilara si temporala superficiala
"
,"8. Artera carotida interna cu ramurile ei terminale -maxilara si temporala superficiala
"
,"9. Vena faciala
"
TRUE,"10. Nervul auriculotemporal
"
,
,"234. Ductul Parotidian:
"
TRUE,"1. Este denumit si canalul lui Stenon
"
,"2. Se deschide in dreptul molarului de minte superior
"
TRUE,"3. Are raport cu fata laterala a muschiului maseter
"
,"4. Perforeaza muschiul maseter
"
,"5. Are raport cu fata mediala a muschiul maseter
"
TRUE,"6. Perforeaza muschiul buccinator
"
TRUE,"7. Se deschide in dreptul molarului 2 superior
"
TRUE,"8. Inconjoara corpul grasos al obrazului (Bichat)
"
,"9. Are un traiect superior arcadei zigomatice
"
,"10. Este denumit si canalul lui Wharton
"
,
,"235. Raporturile Glandei Submandibulare:
"
,"1. Fata inferioara are raporturi cu muschiul stiloglos
"
TRUE,"2. Fata inferioara are raporturi cu muschiul platisma
"
,"3. Fata inferioara are raporturi cu vena jugulara externa
"
TRUE,"4. Fata laterala raspunde mandibulei (foseta submandibulara)
"
TRUE,"5. Fata laterala are raporturi cu artera faciala
"
FALSE,"6. Fata inferioara are raporturi cu vena faciala
"
,"7. Fata mediala sau musculara are raporturi cu burta posterioara a digastricului,cu milohioidianul si hioglosul
"
TRUE,"8. Fata mediala sau musculara are raporturi cu burta anterioara a digastricului,cu milohioidianul si hioglosul
"
,"9. Fata laterala are raporturi cu artera linguala
"
,"10. Fata laterala raspunde mandibulei (foseta sublinguala)
"
,
,"236. Glanda sublinguala:
"
,"1. Are raporturi in peretele superior cu mucoasa vestibulara mandibulei
"
,"2. Se afla in loja submandibulara
"
,"3. Are raporturi in peretele superior cu artera maxilara interna
"
TRUE,"4. Are raporturi in peretele lateral cu corpul mandibulei
"
TRUE,"5. Se gaseste deasupra diafragmei bucale
"
TRUE,"6. Are raporturi in peretele medial cu muschii genioglos si hioglos
"
TRUE,"7. Are raporturi in peretele inferior cu muschiul milohioidian
"
,"8. Se deschide prin canalul lui Stenon
"
TRUE,"9. Se afla in loja sublinguala
"
,"10. Se gaseste inferior diafragmei bucale
"
,
,"237. Putem afirma urmatoarele despre inervatia limbii:
"
TRUE,"1. Senzoriala: 2/3 anterior limba--de coarda timpanului
"
,"2. Senzitiva: 2/3 anterior limba, din lingual,ram din mandibular, ram din facial
"
FALSE,"3. Senzoriala: 2/3 anterior limba—lingual,ram din mandibular, ram din trigemen
"
TRUE,"4. Senzitiva: 1/3 posterioara limba--din glosofaringian
"
FALSE,"5. Motorie : nervul glosofaringian
"
TRUE,"6. Motorie : nervul hipoglos
"
TRUE,"7. Senzitiva: 2/3 anterior limba, din lingual,ram din mandibular, ram din trigemen
"
,"8. Senzitiva: 1/3 posterioara limba—din hipoglos
"
TRUE,"9. Senzoriala: 1/3 posterioara de limba-- glosofaringian
"
,"10. Senzoriala: 1/3 posterioara de limba-- hipoglos
"
,
,"238. Peretele lateral al Cavitatii Orale, Obrajii, contine:
"
,"1. Vena Jugulara Interna
"
TRUE,"2. Muschiul Buccinator
"
,"3. Muschiul Temporal
"
FALSE,"4. Ramuri nervoase motorii din nervul bucal si infraorbitar
"
,"5. Ramuri nervoase senzitive din nervul facial
"
TRUE,"6. Bula grasoasa a lui Bichat
"
,"7. Extensia Temporala a grasimii bucale
"
TRUE,"8. Ramuri nervoase motorii din facial
"
TRUE,"9. Artera bucala (ramura a maxilarei)
"
TRUE,"10. Ramuri nervoase senzitive din nervul bucal si infraorbitar
"
,
,"239. La nivelul Palatului Dur regasim urmatoarele elemente anatomice:
"
FALSE,"1. Artera Palatina descendenta, ramura a facialei care coboara princanalulnasopalatin mare
"
,"2. Ramuri ale nervului oftalmic
"
TRUE,"3. Artera Palatina descendenta, ramura a maxilarei care coboara prin canalul palatin mare
"
,"4. Plexul venos Pterigoidian
"
TRUE,"5. Nervul Nasopalatin
"
,"6. Bula lui Bichat
"
TRUE,"7. Artera sfenopalatina
"
,"8. Meatul Mijlociu, planseul foselor nazale
"
TRUE,"9. Foveole Palatine
"
TRUE,"10. Papila incisiva
"
,
,"240. Raporturile fetei externe ale Muschiului Maseter:
"
TRUE,"1. Artera transversa a fetei
"
TRUE,"2. Glanda Parotida, Canalul excretor al glandei parotide, ramurile nervului facial
"
TRUE,"3. Muschiul Marele Zigomatic
"
TRUE,"4. Muschiul Rizorius
"
,"5. Ductul lui Wharton
"
,"6. Tendonul Muschiului Temporal
"
,"7. Acopera Ramura mandibulei
"
,"8. Muschiul Pterigoidian extern
"
TRUE,"9. Muschiul Platisma
"
,"10. Burta posterioara a digastricului
"
,
,"241. Raporturile fetei interne si marginii posterioare ale Muschiului Maseter:
"
,"1. Articulatia temporo-mandibulara
"
TRUE,"2. Tendonul Muschiului Temporal
"
,"3. Muschiul Marele Zigomatic
"
,"4. Glanda Parotida, Canalul excretor al glandei parotide, ramurile nervului facial
"
,"5. Ductul lui Wharton
"
TRUE,"6. Glanda parotida
"
TRUE,"7. vena faciala
"
TRUE,"8. Acopera Ramura mandibulei
"
TRUE,"9. Muschiul Pterigoidian Intern
"
,"10. Artera Faciala
"
,
,"242. Raporturile Muschiului Pterigoidian Intern:
"
,"1. Burta Posterioara a Digastricului
"
TRUE,"2. Lateral-ramul ascendent al mandibulei,ligamentul sfeno-mandibular
"
,"3. Muschiul Temporal
"
,"4. Muschiul Rizoris
"
TRUE,"5. Medial- Muschiul Stiloglos
"
,"6. Medial-ramul ascendent al mandibulei,ligamentul sfeno-mandibular
"
TRUE,"7. Medial-Muschiul Tensor al valului palatin
"
,"8. Artera
"
TRUE,"9. Artera maxilara
"
TRUE,"10. Medial- Muschiul Stilofaringian
"
,
,"243. Raporturile Muschiului Buccinator:
"
TRUE,"1. Muschiul Canin si Muschiul Mare Zigomatic
"
,"2. Glanda Submandibulara
"
,"3. Muschiul Canin si Muschiul Premolar
"
TRUE,"4. Canalul lui Stenon
"
TRUE,"5. Nervul Bucal, ram din mandibular
"
TRUE,"6. Muschiul Rizorius
"
,"7. Artera Linguala
"
,"8. Muschiul Orbiculari Oculi
"
TRUE,"9. Bula lui Bichat
"
,"10. Muschiul Milohioidian
"
,
,"244. Faringele este situat:
"
,"1. Superior de laringe
"
,"2. Medial și superficial de arterele carotide primitive
"
TRUE,"3. Înaintea coloanei vertebrale
"
,"4. Inferior cavității orale
"
,"5. Într-o dedublare a fasciei cervicale profunde
"
TRUE,"6. Îndărătul foselor nazale
"
TRUE,"7. Inferior de baza craniului
"
,"8. Anterior mușchilor subhioidieni
"
TRUE,"9. Superior de esofag
"
TRUE,"10. Posterior de istmul gâtlejului *
"
,
,"245. Aponevroza faringiană se inseră superior pe:
"
TRUE,"1. Partea posteroexternă a bazei procesului pterigoid
"
TRUE,"2. Tuberculul faringian
"
,"3. Fața inferioară a corpului sfenoidului
"
TRUE,"4. Fața inferioară a procesului bazilar occipital
"
TRUE,"5. Lama fibrocartilaginoasă a foramen lacerum
"
TRUE,"6. Pe latura anterointernă a orificiului carotidian
"
,"7. Ligamentul sfenomaxilar
"
,"8. Rostrumul sfenoidal
"
,"9. Vomer
"
,"10. Jugumul sfenoidal
"
,
,"246. Limitele faringelui corespund:
"
,"1. Superior - lamei orizontale a etmoidului
"
,"2. Anterior - cartilajelor traheale
"
TRUE,"3. Inferior - discului intervertebral C5-C6
"
TRUE,"4. Superior - clivusului
"
,"5. Posterior - fasciei prevertebrale
"
TRUE,"6. Anterior - choanelor nazale
"
,"7. Posterior - mușchilor constrictori ai faringelui
"
TRUE,"8. Inferior - marginea ingerioară a inelului cricoidului
"
TRUE,"9. Anterior - pecetei cricoidului
"
,"10. Posterior - proceselor pterigoide
"
,
,"247. Marginile laterale ale faringelui se inseră pe:
"
,"1. Marginea posterioară a aripei externe pterigoidiene
"
,"2. Extremitatea posterioară a marginei alveolare a mandibulei
"
TRUE,"3. Ligamentul pterigomandibular
"
,"4. Corpul osului hioid
"
TRUE,"5. Inelul cricoidului
"
FALSE,"6. Marginea posterioară a linei milohioidiene *
"
TRUE,"7. Marginea posterioară a aripei interne a procesului pterigoid
"
,"8. Marginea laterală a liniei milohioidiene *
"
TRUE,"9. Ligamentul tirohioidian lateral
"
,"10. Marginea superioară a cartilajului tiroid
"
,
,"248. Despre structura faringelui este FALS că:
"
TRUE,"1. Suprafața interioară vine în raport cu mușchii săi
"
TRUE,"2. Nu prezintă un schelet fibros
"
FALSE,"3. Prezintă mușchi în raport cu suprafața sa exterioară
"
,"4. Extremitatea inferioară se continuă cu tunica celuloasă a esofagului
"
,"5. Mușchii longitudinali sunt ridicători
"
TRUE,"6. Mușchii extrinseci se dispun circular
"
FALSE,"7. Îi permite să fie colababil în etajele superioare
"
TRUE,"8. Îi permite să rămână deschis permanent în etajele inferioare
"
FALSE,"9. Extremitatea inferioară se îngroașă
"
TRUE,"10. Mușchii intrinseci se dispun longitudinal
"
,
,"249. Originea mușchiului constrictor superior al faringelui este pe:
"
,"1. Ligamentul tirohioidian
"
TRUE,"2. Ligamentul pterigomandibular
"
FALSE,"3. Marginea posterioară a aripei externe pterigoide
"
,"4. În jurul aponevrozei faringiene
"
TRUE,"5. Marginea posterioară a aripei interne pterigoide
"
TRUE,"6. 4 fascicule
"
TRUE,"7. Marginea posterioară a liniei miliohioidiene
"
,"8. Rafeul median posterior
"
,"9. Tuberculul faringian
"
TRUE,"10. Laturile rădăcinii limbii
"
,
,"250. Despre constrictorul faringian inferior este adevărat că:
"
,"1. Are formă triunghiulară
"
TRUE,"2. Are originea prin două fascicule
"
,"3. Nu își încrucișează fibrele
"
TRUE,"4. Este acoperit de constrictorul mijlociu
"
TRUE,"5. Are formă trapezoidală
"
,"6. Contracția sa nu scurtează faringele
"
TRUE,"7. Nervul recurent trece pe sub el
"
TRUE,"8. Are originea pe linia oblică a cartilajului tiroid
"
FALSE,"9. Vine de pe laturile cartilajului cricoid
"
,"10. Are origine pe ligamentul cricotiroidian lateral
"
,
,"251. În relație cu constrictorul faringian mijlociu trec următoarele elemente astfel:
"
,"1. Nervul recurent pe deasupra
"
,"2. M. ridicător al vălului palatin pe dedesubt
"
TRUE,"3. Vasele laringeale superioare pe dedesubt
"
TRUE,"4. Ligamentul stilohioidian pe deasupra
"
TRUE,"5. M. stilofaringian pe deasupra
"
TRUE,"6. Nervul laringeu intern pe dedesubt
"
FALSE,"7. Artera palatină ascendentă pe dedesubt
"
,"8. Tuba auditivă pe dedesubt
"
,"9. Nervul IX/hipoglos pe deasupra
"
,"10. Artera laringee inferioară pe deasupra
"
,
,"252. Mușchii palatofaringieni:
"
,"1. Au origine pe palatul dur
"
,"2. Se inseră pe marginea superioară a tiroidului
"
,"3. Se inseră pe marginea inferioară a tiroidului
"
,"4. Se inseră laturiole esofagului
"
,"5. Coboară faringele
"
,"6. Îngustează tuba auditivă
"
TRUE,"7. Au origine pe tuba auditivă
"
TRUE,"8. Au origine pe procesul pterigoid
"
,"9. Se inseră pe fața anterioară a faringelui
"
TRUE,"10. Au origine pe aponevroza palatină
"
,
,"253. Mușchii stilofaringieni:
"
,"1. Coboară faringele în deglutiție
"
TRUE,"2. Au origine pe procesul stiloid temporal
"
TRUE,"3. Au formă conică
"
,"4. Coboară faringele în vorbire
"
FALSE,"5. Îngustează faringele
"
,"6. Au inervație din nervul V/trigemen
"
,"7. Trec printre constrictorii superiori și inferiori ai faringelui
"
,"8. Au formă triunghiulară
"
TRUE,"9. Se răsfiră în evantai
"
TRUE,"10. Trec printre arterele carotide externă și internă
"
,
,"254. Despre mușchii salpingofaringieni este FALS că:
"
TRUE,"1. Au origine pe porțiunea osoasă a tubei auditive
"
TRUE,"2. Nu formează repliuri
"
FALSE,"3. Sunt acoperiți de mucoasă
"
FALSE,"4. Ridică faringele
"
FALSE,"5. Au inervație din plexul faringian
"
TRUE,"6. Coboară laringele
"
TRUE,"7. Se unesc cu m. faringostafilini
"
,"8. Urcă pe peretele lateral al faringelui
"
TRUE,"9. Deschid orificiul faringian al tubei auditive în deglutiție
"
FALSE,"10. Ridică laringele
"
,
,"255. Despre acțiunea mușchilor faringelui este adevărat că:
"
,"1. Mușchii longitudinali nu împing bolul alimentar
"
TRUE,"2. Constrictorul inferior scurtează faringele
"
,"3. Mușchii longitudinali trag anterior faringele
"
TRUE,"4. Constrictorii se contractă succesiv
"
FALSE,"5. Constrictorul superior împinge bolul alimentar
"
TRUE,"6. Constrictorul superior închide istmul nazofaringian în deglutiție
"
TRUE,"7. Constrictorul superior nu împinge bolul alimentar
"
,"8. Constrictorul mijlociu alungește faringele
"
,"9. Constrictorii se contractă concomitent
"
TRUE,"10. Mușchii longitudinali ridică faringele
"
,
,"256. Peretele superior al epifaringelui:
"
TRUE,"1. Prezintă amigdala faringiană
"
,"2. Corespunde clivusului
"
TRUE,"3. Este delimitat anterior de repliurile salpingonazale
"
,"4. Comunică cu cavitatea orală
"
TRUE,"5. Prezintă bursa faringiană
"
,"6. Nu se mai numește și cavum
"
,"7. Corespunde feței inferioare a sfenoidului
"
TRUE,"8. Prezintă întotdeauna hipofiza faringiană
"
TRUE,"9. Are o mucoasă aderentă la os
"
,"10. Corespunde marilor aripi ale sfenoidului
"
,
,"257. Pereții laterali ai epifaringelui prezintă:
"
TRUE,"1. Conține foseta lui Rosenmuller corespunzătoare pachetului vasculonervos cervical
"
,"2. Tonsilă faringiană situată posterior
"
,"3. Amigdale Gerlach anterioare orificiului tubar
"
TRUE,"4. Cercul amigdalian Waldeyer
"
TRUE,"5. Orificiul tubar triunghiular
"
TRUE,"6. Repliul salpingopalatin
"
,"7. Vestigiul primului șanț faringian
"
TRUE,"8. Prezintă repliul dat de m. ridicător palatin
"
,"9. Diverticul Pertick situat anterior
"
TRUE,"10. Prezinta repliul salpingofaringian
"
,
,"258. Despre tonsilele palatine este adevărat că:
"
,"1. Au raport lateral cu baza limbii
"
FALSE,"2. Capsulă pe fața laterală
"
,"3. Au raport posterior cu m. palatoglos
"
TRUE,"4. Au raport anterior cu m. palatoglos
"
,"5. Prezintă rigolele alimentare
"
TRUE,"6. Prezintă pol superior
"
TRUE,"7. Artera le abordează pe la polul inferior
"
,"8. Sunt rotunde
"
TRUE,"9. Prezintă deschiderea criptelor amigdaliene pe fața medială
"
,"10. Prezintă foseta intratonsilară la polul inferior
"
,
,"259. Lojele tonsilare palatine NU prezintă:
"
,"1. M. stiloglos - lateral
"
,"2. Se numesc sinusuri amigdaliene
"
TRUE,"3. Raport medial cu vena tonsilară
"
TRUE,"4. Arc palatofaringian -anterior
"
FALSE,"5. N XI/glosofaringian - lateral
"
TRUE,"6. M. constrictor inferior - lateral
"
,"7. Vena paratonsilară - lateral
"
TRUE,"8. Prezintă lateral m. stilofaringian
"
TRUE,"9. Arc palatoglos - posterior
"
,"10. Raport posterolateral cu artera carotidă internă
"
,
,"260. În delimitarea rigolelor alimentare intră:
"
TRUE,"1. Istmul gâtlejului - anterior
"
TRUE,"2. Lueta - anterior
"
TRUE,"3. Perete inferior care lipsește
"
TRUE,"4. M. palatofaringian - lateral
"
,"5. Baza epiglotei - lateral
"
FALSE,"6. Perete superior care lipsește
"
,"7. Tonsila linguală - superior
"
,"8. Tonsila faringiană - posterior
"
FALSE,"9. Vălul palatin - anterior
"
TRUE,"10. Tonsila palatină - anterior
"
,
,"261. Peretele anterior al hipofaringelui:
"
TRUE,"1. Este peretele posterior al laringelui
"
FALSE,"2. Este în raport cu m. ariaritenoidieni
"
TRUE,"3. Prezintă repliurile faringoepiglotice
"
,"4. Formează un jgheab pentru alimentele solide
"
FALSE,"5. Vine în raport cu inelul cricoidului
"
TRUE,"6. Prezintă aditusul laringian
"
,"7. Nu prezintă sinusuri piriforme
"
TRUE,"8. Prezintă proeminența rimulei
"
TRUE,"9. Au raport cu nervul recurent laringeu
"
,"10. Nu are raport cu m. cricoaritenoidieni posteriori
"
,
,"262. Contracțiile următorilor mușchi produc sfinctere faringiene, CU EXCEPȚIA:
"
,"1. Palatoglos în deglutiție
"
,"2. Constrictor inferior care coboară gura esofagului în deglutiție
"
TRUE,"3. Ariaritenoidieni care închid aditusul laringian în deglutiție
"
,"4. M. palatoglos în deglutiție
"
TRUE,"5. Peristafilin intern obturează comunicarea rino-orofaringiană în cânt
"
,"6. Faringostafilin obturează comunicarea rino-orofaringiană în masticație
"
TRUE,"7. Peristafilin intern în deglutiție
"
TRUE,"8. M. palatofaringian în deglutiție
"
TRUE,"9. Ariepiglotici care închid aditusul laringian în deglutiție
"
,"10. Ariepiglotici în vorbire
"
,
,"263. Spațiul retrofaringian prezintă:
"
TRUE,"1. Inferior - comunică cu mediastinul superior
"
TRUE,"2. Anterior - fascia bucofaringiană
"
TRUE,"3. Posterior - aponevroza prevertebrală
"
FALSE,"4. Raport lateral cu nervul X/vag
"
,"5. Este deschis lateral de două septuri
"
,"6. Țesut conjunctiv care permite mobilizarea fasciei prevertebrale
"
,"7. Raport posterior cu teaca carotidiană
"
TRUE,"8. Superior - baza craniului
"
FALSE,"9. Inferior - comunică cu spațiul retroesofagian
"
TRUE,"10. 5-6 noduli limfatici
"
,
,"264. Spațiul mandibulo-vertebro-faringian prezintă:
"
,"1. Etaj subglandular, retrostilian - N. V/trigemen
"
FALSE,"2. Perete posterior - proces mastoid
"
TRUE,"3. Perete extern - ramura mandibulei
"
TRUE,"4. Perete lateral - m. pterigoidian intern
"
,"5. Etaj glandular - glanda submandibulară
"
TRUE,"6. Perete posterior - pântecul posterior al m. digastric
"
,"7. Etaj subglandular, retrostilian - VJE
"
TRUE,"8. Etaj subglandular, prestilian - ACE
"
TRUE,"9. Etaj subglandular, retrostilian - ACI *
"
FALSE,"10. Perete intern faringian
"
,
,"265. Arterele destinate faringelui sunt:
"
TRUE,"1. Vidiană din maxilara internă
"
TRUE,"2. Faringiană ascendentă din ACE
"
,"3. Palatină descendentă din facială
"
,"4. Tiroidiană superioară din artera faringiană descendentă
"
,"5. Tiroidiană Ima a lui Neubauer din ACE
"
,"6. Tonsilare din maxilara internă
"
TRUE,"7. Pterigopalatina din maxilara internă
"
TRUE,"8. Tiroidiană inferioară din artera subclaviculară
"
TRUE,"9. Palatină descendentă din maxilara internă
"
FALSE,"10. Palatină ascendentă din artera maxilară internă
"
,
,"266. Inervația faringelui este asigurată astfel:
"
TRUE,"1. Senzitiv - marele nerv palatin pentru mucoasa tonsilei palatine
"
,"2. Senzitiv - N V
"
,"3. Ramuri simpatice din ganglionul cervical mijlociu
"
TRUE,"4. Senzitiv - N X
"
TRUE,"5. Motor - N IX pentru m. stilofaringian
"
,"6. Motor - n. recurent pentru constrictorul mijlociu
"
TRUE,"7. Motor - n. recurent pentru constrictorul inferior
"
TRUE,"8. Fibre motorii din N XI pentru palatul moale
"
,"9. Motor - N IX pentru m. constrictor mijlociu
"
,"10. Motor - N V2 pentru m. peristafilin extern
"
,
,"267. Anatomia aplicată a faringelui include:
"
TRUE,"1. Cale de pasaj în intubația laringiană
"
TRUE,"2. Disfagia care înseamnă imposibilitatea de a înghiți
"
TRUE,"3. Paralizia m. vălului palatin în difterie
"
FALSE,"4. Inflamația tonsilelor faringiene poartă numele de vegetații adenoide
"
,"5. Cale de propagare a infecțiilor spre urechea externă
"
FALSE,"6. Cale de pasaj în intubația gastrică
"
TRUE,"7. Hipotonie musculară în turbare
"
,"8. Hipotonie musculară în tetanos
"
,"9. Paralizia n. recurent care duce la disfagie pentru lichide
"
TRUE,"10. Faciesul adenoidian cu limba în protruzie
"
,
,"268. Lungimea faringelui și a etajelor sale NU este:
"
,"1. În totalitate = 14 cm
"
TRUE,"2. Epi/rinofaringe = 5 cm în deglutiție
"
FALSE,"3. Epi/Rinofaringe = 4 cm în deglutiție
"
FALSE,"4. Epi/Rinofaringe = 5 cm
"
TRUE,"5. Hipo/laringofaringe = 4 cm în deglutiție
"
TRUE,"6. Orofaringe = 5 cm
"
,"7. Orofaringe = 5 cm în deglutiție
"
,"8. Hipo/laringofaringe = 3 cm în deglutiție
"
TRUE,"9. Orofaringe = 4 cm în deglutiție
"
TRUE,"10. Hipo/laringofaringe = 4 cm
"
,
,"269. Cartilajul tiroid prezintă:
"
,"1. Un vârf
"
TRUE,"2. O față anterioară
"
TRUE,"3. Coarne mici
"
TRUE,"4. O față posterioară
"
TRUE,"5. Incizura tiroidiană
"
,"6. Un corp
"
